id,proverb,query_narrative,first_choice,second_choice,distractor_similarity,analogy_level,correct_answer
50,Absence makes the heart grow fonder,"She felt the sadness as she looked over pictures of her husband. The loss she feels is undeniably the worst it has ever been. Thoughts of his return fill her mind. Through sadness, she has worked hard to overcome her need for constant companionship. She has taken great strides to block the sadness. She also knows that with his return that though this felt like a loss in the present time, it will only make them stronger. Their time away is nothing more than glue to hold their bond stronger.","The man and his wife fought every month. He remembered fondly when he first started dating her. They seemed to be more affectionate. Then he thought maybe his perception was skewed because he looked through his old journal and found they fought even more frequently than now. The man thought maybe their affection for each other had grown because their recovery time from fights was shorter. In general, the life with her never has been easy but it was getting better and also more bearable since he loved her.","Once upon a time, there was a married woman named Emily who was always surrounded by friends and loved ones. She had a tight bond with her spouse, but she realized that she had become overly dependent on their constant companionship. Determined to conquer this dependency, Emily decided to embark on a journey of self-discovery, spending solitary days hiking in the mountains and evenings meditating under the starlit sky. As the days turned into weeks, and solitude became her constant companion, Emily began to understand the true essence of her relationship with her spouse. With each passing day, her love for them grew stronger and her appreciation for their presence became more profound.",high,near,2
51,Little things please little minds,"Ted and his roommate Brandon seemed to have different goals in life. Brandon had a five year plan, save money, buy a house, marriage then children and so on. Ted liked to stare at memes on the internet and giggle most of the day.","A man received a bonus because of great performance at work. It was low five figures. Instead of spending all of the bonus money extravagantly on things that he did not need, the man placed the extra money into a mutual fund which performed well over the next ten years.",It doesn't satisfy me just to get bonus for the work I do. But when they engage me more in helping people and achieve bigger goals for the organization and betterment of the people I find more mental peace.,low,far,2
52,A stitch in time saves nine,"Little Ellie looked down at her sweater.  The sleeve was starting to unravel.  Afraid of ruining her favorite article of clothing, she ran to the house and gathered her sewing needle and thread.  She fixed it just in time to prevent it from falling apart.","In a small dwelling tucked away in the countryside, lived a family of weavers. Every day, they tirelessly worked on their looms, creating beautiful tapestries. One fateful day, a small tear appeared in one of their prized creations, but they ignored it, thinking it was insignificant. Weeks passed, and that small tear unraveled into a massive hole, ruining the entire tapestry. Regret washed over them as they realized that had they addressed the tear in time, they could have saved hours of painstaking work.","Ben is carpenter and we used him to build our house but every time he builds somethings it is not straight and not look good. So we asked him why and he reason out with so many other things, instead of hold it accountable for not doing a good job, he will make excuses instead. He did not have enough skills as a carpenter but he wants a good salary or money.",low,near,1
53,Live for today for tomorrow never comes,Bob procrastinated about everything.  He missed several deadlines because he would start late on projects and run out of time to complete them.  His Boss told Bob he would be fired if he kept missing deadlines and Bob learned to stop procrastinating.,"Jim was working on a new project for his job. Before he even started, he mapped out his entire plan of how he was going to complete things. Everything was going very smoothly and he was right on track to complete it well and on time. Until, a colleague recommended a different approach. The colleague was so compelling that Jim completely switched his plan. Everything immediately was thrown off by this new approach. The deadline hit, and he work wasn't done yet. When he finally finished, it was poor.","Once upon a time in a  workplace, there was a worker who constantly struggled with procrastination. Despite their manager's constant reminders and deadlines, the worker couldn't seem to break free from the clutches of their own laziness. Days turned into weeks, and deadlines were missed, creating a strained relationship between the worker and their boss. However, one day, the worker had an epiphany, realizing they needed to live for today and take action, for tomorrow never comes. With renewed determination, they worked diligently, overcoming their procrastination and meeting every deadline henceforth, mending their relationship with their manager and achieving success in their career.",high,near,2
54,It's no use crying over spilt milk,"There was a powerful storm one night on the farm. Pa took us down into the cellar and just about that time it sounded like a train roared past or house. After we came out of the cellar we saw the whole farm leveled to the ground. And there as Pa, picking up the piece of his shattered home telling us there's nothing we can do about about the storm so we might as well start rebuilding the house.",I had to give a presentation in school today.  I was not as prepared as I should have been.  My hands were shaking and I know that I was talking too fast.  I was upset all day by my horrible performance.  I need to just stop thinking about it because it is too late to do anything about it now.,"He lived in a very diverse neighborhood where everyone kept to themselves, and they didn't want to talk to other residents. After moving to this neighborhood he started to doubt the decision he made until one night the house across the street caught fire. At 2am the firetrucks arrived and put out the fire while all of the neighbors rushed over to the family and asked what they could do to help and to console them, although they were not close at all at the end of the day.",high,far,1
55,A barking dog never bites,"Max was a ferocious looking and sounding canine.  People walking by him would cross to the other side of the road.  One day a deaf man was walking by the yard and Max was going off with his incessant yowling.  Max ran to the sidewalk, still yepping, but let the man walk by unscathed.","In response to being ignored by her so-called friend at the party, she decided to balance things out by not responding to her messages the next day.  She later found out that her friend's boyfriend had left her and that was why she was so quiet at the party. She felt terrible for ignoring her messages the next day and wished she had not responded in this negative way.","Billy was so excited to win the race for class president. He worked so hard to win, and he was so proud of himself. His opponent wasn't so happy. He kept telling Billy that he was going to make sure he failed as president, and that everyone would be sorry they voted for him. But considering that he did the same thing last year, Billy knew it was all talk.",low,far,2
56,Don't put all your eggs in one basket,"James did it, but he shouldn't have.  He sold his portfolio, the whole thing - all those stocks, all those mutual funds, all those bonds...gone.  But it was going to be okay, Robert had promised. The tip he'd gotten was a sure thing he said.  Retrocon was going to fly, he'd said.  They'd be rich, he'd said.  So James handed over the money for all the Retrocon shares they could get.  It took a month for Retrocon to fail.  He'd give away all the cans in his bag for his portfolio back.",The man had invested in a speculative stock. He saw the price of the shares rise and felt like a rich man. The man spent a lot of money vacationing that year and went over his budget. The stock crashed and then the man could not meet his goals for saving money that year.,"In the midst of a retrocon convention, Lisa showcased her extensive collection of vintage toys and memorabilia, mesmerizing the attendees with her portfolio filled with treasures from the past. As her popularity soared, Lisa made the mistake of focusing solely on her retrocon ventures, neglecting other potential opportunities. Unfortunately, when the retrocon hype eventually died down, Lisa found herself facing a significant setback, realizing she made a mistake and this way her future wasn't also guaranteed.",low,near,2
57,Let not the sun go down on your wrath,"Mary and her friend had gotten into a big fight.  She spent the day fuming over their argument.  By the end of the day, Mary felt like she needed to put an end to everything.  She didn't want to go to bed angry at her friend.  She went to her and calmly apologized.  They hugged and talked together for a while before going to bed.","Marcie was sick.  She was coughing and had a high temperature.  She wanted nothing to eat or drink.  However, her grandmother brought her come chicken soup and told her it would cure her.  Marcie forced the soup down and soon got over her illness.",Beth and Cooper had a very bad argument after Beth wrecked Coopers car. He blamed her for having no respect and she blamed him for valuing objects over people. After several hours Beth told Copper that they needed to resolve their problem was because she didn't want to go to bed with them both still mad.,high,far,2
58,For everything there is a season,The little girl was so excited to be given the packet of seeds and rushed straight out to plant them in her garden. She waited patiently for them to sprout but after a few weeks there was still no sign. When she told her dad what she had done she was dismayed to learn that planting sunflowers in the middle of winter was not going to work.,"Kelly partied hard as a teenager and made memories. She attended college and married as a young woman, bonding over time with her favorite person. She had children and a career. In her old age she rested. One of her other friends chose a different path and ended up being busy all the time taking care of her rich old husband. Although wondering about the reason behind her friend decision, now she was understanding the reason behind that. ","He had grumbled and complained when his dad told him that he expected help in the garden that day. The first hour that he was out there, he dawdled and did as little as he could get away with. He cheered up when his dad came out with hotdogs and cola, however. That afternoon, being well fed, he worked very hard and felt satisfied with his work.",high,far,1
59,Fools rush in where angels fear to tread,"When the oil spilled, people rushed to fill up buckets of it. The wise people stayed away and escaped with their lives.","When scrolling through Facebook, Margie saw a post by her friend, Martha, about a party at her house. Margie had not received an invitation and posted a nasty remark on Martha's Facebook page. Later, when she checked her email, she saw she had missed seeing Martha's invitation to the party and felt bad about the nasty remark.",His father was a gambling addict. He swore never to be like his dad. One day he went to a casino and just could not stop. He was instantly hooked and did not stop until he had lost his entire life's savings playing games at the casino.,low,far,1
60,You can't get blood out of a stone,"She berated him for what seemed like hours.  He simply didn't know, and he was tired of the fighting.  It was a regular occurrence, her anger at a situation in which he had no control over.  No matter how much she yelled, it was not something that he was able to fix, nothing he had an answer for, nothing he had any information to offer on.  This was the end.","The old hermit was very rich and never gave a dime to anyone in his entire life. He lived on a hill and the children would try to sell him cookies and other items for fundraisers each year. Still, he died at the age of 95, grumpy and without ever having donated or bought a single item for the fundraisers.","The two men squared off against each other. They yelled threats and vulgarities at each other and kept challenging the other to throw the first punch. They kept telling each other to do something and that the other was a coward for doing nothing. After ten people passed by them, the men slowly walked away from each other while shouting threats and insults.",low,far,1
61,Cowards may die many times before their death,"The anxiety about getting the injection made her unable to sleep that night, but the actual experience wasn't as bad as she thought it would be.","In a world drowned in anxiety, Sarah, a young woman plagued with restless thoughts, found herself imprisoned by fear. Each passing day felt like another death, as her mind played out countless worst-case scenarios, restricting her from truly experiencing life's joys. Despite her hesitant steps, Sarah vowed to conquer her fears and embrace the adventures that awaited her, determined to live fully and break free from the chains of her own insecurities, since they were making her miserable and prone to so many diseases like fast aging and also heart diseases related to anxiety and stress.","The man had been playing poker for four hours and it was nearing midnight. The man had brought a hundred dollars in the evening to gamble. His luck had been poor, but not particularly so. The man had fifty dollars remaining of what he brought. The man decided to go to sleep instead of continuing to lose money.",low,near,1
62,Birds of a feather flock together,"She was the artistic type. Throughout her school years, most of the friends she made were in her art classes. Even once they graduated, her and her artist friends would get together on weekends to talk about their work and paint together.","When walking along the beach, John notices that there were specific parts of the beach which was occupied with people running and other parts where people just laid down and relaxed.","The girl had heard the rumors that were circulating around the school about her best friend. She always chose not to believe them. But lately, her gut instinct told her different and she couldn't help but wonder if what they were saying held atleast a little truth. Afterall, how could a rumor get started if it wasn't partly true?",high,far,1
63,Hindsight is always twenty-twenty,"Mark was the new CEO of the company. Under adrenaline rush he decided to go after a small startup that he thought would be profitable for the company. However, months later, it was discovered that the startup would not benefit them much but instead it was costing them a fortune to make a bid for the startup.",After becoming the new CEO of the company John decided to change the microchip in the laptop being produced by his company. However he understood that they need to design an entirely new laptop instead of just changing the chip as the new chip won't be compatible with the old hardware setup.,"Looking at the past decisions, I put too much oil in the fryer and burned the turkey last year, and the year previous to that and also a couple of months ago. That's also true that at those moments I didn't know what I'm doing. ",high,far,2
64,You are never too old to learn,"The mother had decided to go back to school. Her kids were all grown and she wanted to better herself and education. Upon arriving on her first day of school, she was slightly embarrassed that she was the oldest person in the classroom. Even with most of the kids half her age, she continued to move forward and grow from her experience. She may have been the oldest one, but she was also very proud of herself for living her dream.","The girl had heard the rumors that were circulating around the school about her best friend. She always chose not to believe them. But lately, her gut instinct told her different and she couldn't help but wonder if what they were saying held atleast a little truth. Afterall, how could a rumor get started if it wasn't partly true?","in a  educational institution, a curious elderly woman embarked on a journey to improve her knowledge and learning. Surrounded by lively children, she found herself inspired and motivated to explore new realms of understanding. Determined to break the stereotypical notion of age limitations, she embraced every opportunity to grasp new concepts.",high,near,2
65,For everything there is a season,"Kelly partied hard as a teenager and made memories. She attended college and married as a young woman, bonding over time with her favorite person. She had children and a career. In her old age she rested. One of her other friends chose a different path and ended up being busy all the time taking care of her rich old husband. Although wondering about the reason behind her friend decision, now she was understanding the reason behind that. ","She never expected to be a widow at age 25 with a special needs child. Since she had married straight out of high school, she had not attended college, so her job skills were negligent. Her husband had not purchased life insurance, so financial problems seemed insurmountable. However, she had been raised as an extremely religious person, so she turned to her Lord in this time of need. Help appeared from an unexpected source when her father was transferred to her city. With her mom and dad there to help, she was able to live with them and attend college. She was able to get her education, which gave her the ability to obtain work at a pay level high enough to support herself and her child. She never doubted that her Lord would send help.",The little girl was so excited to be given the packet of seeds and rushed straight out to plant them in her garden. She waited patiently for them to sprout but after a few weeks there was still no sign. When she told her dad what she had done she was dismayed to learn that planting sunflowers in the middle of winter was not going to work.,high,far,2
66,"Jack of all trades, master of none","It was i wondered how James was unable to win the marathon after spending enough time in training, it was till i found out that he was involved in many sport activities.","My sister said I was a crafting addict.  I don't know how to do any craft well, but I can sew a bit, crochet a bit, paint a bit, and draw a bit.  I like to spend time doing all these crafts, but don't want to get particularly good at any one thing.",Brenda threw caution to wind and signed up for a marathon on a whim. She had to drop out after the first 5 miles.,high,far,1
67,Little things please little minds,"He had been bullied by the same boy for years and he was miserable. He knew that bullies are usually cowards but this did not comfort him much. He was comforted by the fact that the bully was not very bright, however! It made him laugh to see the bully spending a lot of his time studying ants. This seemed appropriate to him.","In an educational institution, a notorious bully named Jack delighted in tormenting his classmates, making them the target of his cruel jokes and pranks. But little did Jack know that his actions were slowly uniting the students against him. Seeking solace and wanting to overcome Jack's intimidation, the students organized a hilarious intervention that exposed his foolishness and made everyone laugh, proving that sometimes the smallest acts can bring immense joy.","When Joe was in elementary school he was bullied often by the other kids. By the time he got to high school though he had made a few friends. Because he knew what it was like to be alone and have no one standing up for you he would often look for other students alone and go out of his way to make them feel included. If he ever noticed someone being bullied he would step in and try to stop it. Even though he did have friends now, he hoped that if he ever found himself alone someone else would do the same thing for him.",high,near,1
68,You are never too old to learn,"The mother had decided to go back to school. Her kids were all grown and she wanted to better herself and education. Upon arriving on her first day of school, she was slightly embarrassed that she was the oldest person in the classroom. Even with most of the kids half her age, she continued to move forward and grow from her experience. She may have been the oldest one, but she was also very proud of herself for living her dream.","He really hated school. The bullying was relentless, but he had a strong fortitude and a promise to make his single mother proud. So he bravely marched on to school. In a matter of years, he found himself graduating at the top of his class with an M.B.A. His former classmates went to their jobs cleaning up after school children.","One of my colleague at work who is nearly 57 years and he reads 2 books a month, always research about new technologies. Recently, he also passed one of the most difficult IT certification and he is planning to do more certification in near future.",high,far,2
69,Home is where the heart is,"Alex did not want to move.  He was six years old and loved his friends and his school.  His mother told him to pack his room because the move was happening whether he wanted it to or not.  He sulked for days before and after the move.  Soon he settled in, made new friends, and had an even better school to go to.  He soon got over his resentment and realized that he could be happy anywhere, as long as he had loved ones around.","Alex had been sick for a few days now. His mother had assured him that his illness would soon be gone. Alex's mom had made him homemade chicken noodle soup. It was his favorite meal, and did not hesitate to eat it all up. The very next day Alex noticed that his cold was going away. After all, there was nothing that his mothers cooking could not fix.","Alex's friend, with her kinship, fervently sought to provide a loving and nurturing environment for her friends. Through her unwavering devotion, she transformed their house into a haven filled with shared joys, laughter, and love. Although all of her friends were coming from different countries and they were far from home, they were feeling like at home when they were at Alex's friend house, and this was making Alex also glad that he had such a friend.",low,near,2
70,"Once bitten, twice shy",She fell in love for the first time at age 16. She thought she and her boyfriend would be together forever and put all her trust into him. One day she caught him at the shopping mall out with another girl. She was heartbroken. Years later she met a man she really adored but she was on edge. It was not easy to give her heart to anyone after what happened the last time.,"She had wanted to fall in love so badly that the moment she met a man she liked she jumped right in. Their relationship went really fast. After one week the couple were exchanging, I love yous. This backfired on her when she found out he was not the man he seemed to be. It was meant to take longer time for them to be able to make it work better. ",One of my students invited me on the opening of his new coffee shop business. I advised him that never comprise on quality of products and services as once people don't like anything they will never come back,high,far,2
71,Time is a great healer,"In the following years of a relationship both partners decided a breakup was required. In their time together they had experienced the happiest and most fulfilling times of their lives, and so, the end would be a traumatic affair. With memories still evocative of emotions, it was in the proceeding weeks and months that reconciliations would be made. Gradually they were able to move on and started seeing other people.","In a small coastal town, a couple built their love affair on dreams of forever but their once vibrant connection began to fade and they broke up. Years passed and they started to notice they don't remember all the bad memories from the incident between them anymore and they were happy with their fiends and loved ones.",The man had took some time off from seeing his girlfriend. This separation was spurred by the fact that they had some vitriolic arguments. The man started to miss his girlfriend when they were not physically close to one another. He did not expect this longing to start so soon and regretted their fights.,high,near,1
72,Clothes maketh the man,"Both of the job applicants had great experience and education, but they showed up presenting themselves very differently. One man was wearing a rumpled t-shirt that needed washed and ironed. The other was wearing a suit and tie that looked crisp and new. The job went to the man in the suit and tie. It was obvious that he took pride in his appearance.","Suneel belonged to a lower middle class. He was meeting his life requirements in a decent way. He used to meet his friends mostly in rough clothes where he was not given due attention. When he got a good job, he upgraded his lifestyle, and when he went back to his same friends they started noticing a change, and there was a massive and positive change in their behaviour.","The man walked out of the job interview, pleased with how it went, although he had told a few mistruths in the interview. He told the interviewer that he had some programming experience. This wasn't required for the role but it gave the man some edge. There were other candidates that fitted the role perfectly, but this extra skill gave him an advantage. The interviewer offered the man the job. The man was ecstatic.",high,far,1
73,There's more than one way to skin a cat,"The girl approached a math problem in her homework. She saw that it had more than one way of getting to the solution. She wondered if she would lose credit if she did not use the method that was just taught in class, instead relying on a method that she had learned outside of class. The girl decided to use the method she just found and got the full credit.","She spent hours every day studying and doing classwork. It was hard to remain focused on school when there were so many distractions begging for her attention. However, she powered through and come summer vacation she had passed with flying colors and had plenty of time to relax and have fun.","After the Canadian Supreme Court ruled that crowdsourced micro work must also follow minimum wage laws, all Canadian micro workers were effectively banned from micro work because this work typically pays one hundred times less than minimum wage. However, some workers found ways to keep working since they knew there wasn't only one single way to do this and hence they found a way.  A few commuted daily into the Point Roberts U.S. enclave and did micro work there.  Others went to the Canadian side of Peace Arch park at the border and did their work using U.S. cellular data.",low,far,2
74,For want of a nail the shoe was lost; for want of a shoe the horse was lost; and for want of a horse the man was lost,He was lazy and knew it. When his car started making a noise he could not be bothered to stop and check it and instead he turned the radio on to mask the sound. A few miles down the road the car died completely. The mechanic told him that if he had stopped when he first noticed the noise then the car might have been saved.,She took her car in to a local repair shop to get a tune up. After the work was done she noticed a loud banging noise on the drive home. She called the shop and the repair person said that his car jack had not been working right so he could not see what he was doing. She was outraged that the repair man would come up with a ridiculous excuse for a bad job.,"On a busy highway, John's vehicle suddenly started malfunctioning. Determined to preserve his precious car, he decided to pull over and inspect the problem. However, despite his efforts, he couldn't fix it and had to abandon the vehicle. With no transportation, John was stranded on the highway, leading to a series of unfortunate events that ultimately resulted in his complete loss. He had an argument with his bus, then with her wife about a car-related topic and all like dominos ruined his life. ",high,near,2
75,A friend in need is a friend indeed,"When Billy lost his job, he contacted many of his friends for leads to knew jobs and temporary financial assistance. Most of them avoided him and switched off the phone. Only his closest friend, John, stepped up and offered his place to slay as he looked for a new job. Billy made note of this and cut contact with the rest of his so called friends.","Jerry had just lost his job.  His friend offered him a place to stay until he got back on his feet.  After a week, Jerry stopped cleaning up after himself.  He started taking an attitude with his friend as well.  His friend had a talk with him shortly after, telling him that he had to get out of his house by the next week.","He had just gotten to the office and found out that his coworker had broken her leg while carrying laundry down the stairs at home. Unfortunately, this meant that the coworker needed to be wheeled around in a wheelchair until she was strong enough to use crutches. He took the liberty of helping her navigate around the office for the next two weeks or so. She was endlessly thankful and bought him a muffin basket the next week for his efforts.",high,far,2
76,Life's not all beer and skittles,"Polly finished college and started her job in a new town.  She had a mean boss, stressful work, and no friends nearby.  She really longed for her college days when she could forgot about class and party with her buddies.  However, she had to stick with her work so she could pay bills.  She came to realize that responsibilities were a part of adulthood.","Sally was getting ready to graduate from college. She was so excited about the future that was about to be upon her, but she had to get through the harsh reality of finals first. Her friends kept reminding her that as hard as studying for finals was going to be, everything would be so much brighter when they were over.","Once upon a time, a group of college buddies made a pact to stay connected even after they graduated. They decided to have a grand reunion at the university where they had shared countless memories. Little did they know, life had other plans - some had moved to different cities, some were engulfed in demanding careers, and some had grown apart. The once vibrant atmosphere of carefree fun was replaced with the painful reality.",high,near,2
77,Blood is thicker than water,A person gets into a big fight with his sister. He decides to go over his friends house instead of staying home and keep fighting. After calming down he looked at the situation from the point of view of his sister and understood her point even though it was slightly flawed. He decided to go back and talk to her since she was her sister and not just a random friend and he knew it was important for the family to do this.,"Mary and her friend had gotten into a big fight.  She spent the day fuming over their argument.  By the end of the day, Mary felt like she needed to put an end to everything.  She didn't want to go to bed angry at her friend.  She went to her and calmly apologized.  They hugged and talked together for a while before going to bed.","I spend time with my friends. I'm forced to spend time with family on Holidays, but it is them I know that in the times of need and hardship will come to help and support me no matter what happens.",high,far,2
78,A picture paints a thousand words,"I was out of breath. After an hour of explanation I could not get my decorator to understand how I wanted my office to look. I picked up a furniture book and started flipping through it just to redirect my frustration when I see an ad; it was exactly what I wanted my office to look like. I show the advertisement to my decorator who says, Oh, is that what you want it to look like? Well why didn't you just say so..",She knew immediately when she looked at the snap that her brother and his friends had got very drunk the night before and had ended up in a police cell after being disorderly. They looked very woe begone and not at all the cheerful bunch they had been when they had set off the evening before.,"Marketing team complained about one of our office colleague that he always bullies them but office colleague denied and said he is always good with them and treat everyone with respect. Nevertheless, one of the human resources agents knew that since there is no promotion or anything merit-based involved, there should be a bit of truth in things people are saying about the complains. ",low,far,1
79,A chain is only as strong as its weakest link,"John, Jack, and Louisa were assigned to work together on a class project. John and Louisa were very good students, and they both worked very hard on their parts of the project. Jack, however, was not interested in this project and did not bother to complete his portion. The teacher was not impressed with their incomplete presentation, and all three students received a low grade.","The boy was nervous on his first day of school. He sat down near some kids who looked and dressed like him at a lunch table. They began to chat and felt like their interests seem to align as well. They were all interested in puzzle games, movies, comic books and science fiction.",The secluded neighborhood decided to not speak to the police about a murder that had occurred there because they didn't want outsiders to get involved in their affairs. One person was feeling conscientious and decided to spill the beans to the investigating detective. The police began to thoroughly go through the village thereafter.,low,far,2
80,From the sublime to the ridiculous is only one step,"The crowdsourced micro worker could not believe his luck.  He found a task that pays more than his average one-month earnings.  Then found the task had impossible demands.  The task says one must buy an electric scooter, ride it every day on the sidewalk for one month, and write about the experience.  But that was illegal where he lived.  Plus it was the rainy season and he would get soaking wet every day.","As he ran up the hill, the crowdsourced micro worker reflected on the past year.  He had been a firmware engineer for many years until the stress of the job destroyed his health.  Then he switched to micro work which paid 30 times less.  But gone was the unbearable stress of unreasonable customer demands.  And he finally had time to exercise and hopefully recover his health.  He was happy to be alive again.","In the bustling city, a crowdsourced freelancer enjoyed his break by scootering on the pavement. With skilled maneuvers and graceful speed, he attracted the admiration of onlookers. However, one moment of distraction led him to collide with a lamppost, transforming his grand spectacle into a ridiculous spectacle as he tumbled to the ground.",low,near,2
81,A man who is his own lawyer has a fool for his client,"As he drove into work one morning, Walter decided he was underpaid.  He let himself become angry and resentful about his salary. The point he missed was to ask someone who knew the rules to represent him and not himself that was unaware of all the rules in a new country he was working.   When he got to his office, he interrupted a meeting the boss was having to ask for a raise.  The boss told Walter to calm down and come back later.  Instead, Walter got angrier, swore at his boss, and called him vile, insulting names.  Instead of getting a raise, Walter got fired.","i used to watch court tv quite a bit. often the people would represent themselves, thinking they were smarter, or more clever then the court and its proceedings. Never one time did it work out, not once...","The man had been in the job for ten years and had never had a payrise, despite his diligent hard work. One day he plucked up the courage to ask his boss for a rage and was curtly refused. That was it! He decided. No more working his hardest. He was going to slack as much as he could and not take any further pride in his work.",high,far,1
82,It's no use crying over spilt milk,A student did a big test for his class. He studied for it and tried his best to make sure that he had the information he needed to do good on the test. When he got his grade back from the teacher actually he did not do good on the test. Instead of feeling bad about it he decided to move on and not think about it.,"As I entered the exam room, I was hit with the realization that I had forgotten to study. Panicking, I quickly scanned the questions, desperately trying to recall any relevant information. But instead of giving up and dwelling on my mistake, I took a deep breath and focused on moving forward, aiming to perform admirably on the exam. I did terrible at the exam, but I can't do anything about it, so I just started studying for the next exam I had.","The boy was working hard at his studies and made sure to do his homework every day. He missed out on some socializing with friends and cut back on video games and TV. By the end of the year, he had the highest grade in the class.",low,near,1
83,All publicity is good publicity,"XRP is being sued by the SEC. No matter the outcome, the exposure for XRP is priceless","Joe was interviewing for a new job. He interviewed with two companies that he really liked - Company X, and Company Y. He liked everything about Company X better, but Company Y was going to pay more money. He took the job with Company Y. As he started working, he was miserable. He realized that money isn't worth it, when you don't really like the job or the company. He wished he'd taken the job with Company X. But for sure, he could not have thought about this before choosing between the two jobs. ",Tom's wife posted an unflattering picture of Tom on Facebook. She added a caption that stated Tom was a terrible husband and a bad actor and she was glad he was out of work. She stated she was sorry she had married him. Many people commented on the post and stated they thought Tom had died a long time ago.,low,far,2
84,There's no accounting for tastes,"She didn't want to embarrass her friend when she asked her, It's beautiful, isn't it? She looked at her friend's new car and nodded her head in agreement. It was purple, the worst car colour she had ever seen, but she faked a smile and congratulated her.","Gary grew up in the mountains.  His frame of reference was very limited.  When he joined the army, he met a diverse number of soldiers.  His unit depended on each and every soldier.  He realized that diversity leads to great teamwork and an expanded view of the universe.","One of my best friend was always wanted to be rich through short cuts and he failed badly many times. I advised him that success doesn't come without struggle and hard work. Once you  start working hard, be consistent and passionate, I am sure one day you will achieve your goals. He followed my guidelines and after couple of years hard work and struggle he became successful.",low,far,1
85,Let sleeping dogs lie,"She was still a bit upset at her friend over something that had happened weeks ago. She finally felt that she could leave it in the past, but she decided to bring it up with her friend anyway. The introduction of the topic caused a big argument that had the two giving each other the silent treatment for days.","Once upon a time, two buddies named Max and Leo stumbled upon a mysterious abandoned house in the woods. Curiosity got the better of them, and they decided to explore the eerie place. Disturbing the slient and serenity of the house, they woke the house's guard and they fell into lots of troubles coming out of the house, but at least they learn a valuable lesson.",Jose was born in very poor family and Mario in a rich family in the area and they were friends and grew up together. There was a big concert or shows in the area for a popular singers and the two of them are interested to watch. Mario being rich he can able to watch the concert because he has the money to pay for the concert whereas Jose being poor he can't watch the concert because he doesn't have the money to pay for the concert or shows.,low,near,1
86,You reap what you sow,"The boy was working hard at his studies and made sure to do his homework every day. He missed out on some socializing with friends and cut back on video games and TV. By the end of the year, he had the highest grade in the class.",my buddy needed new tires for his truck. he ended up buying 4 used tires instead of 2 new ones. In a week those tires got damaged and he again had to visit the car service station.,"She had done the math and found that she could blow off her homework for the last two weeks of class and still pass, so based on that assumption, she even enrolled in 3 classes that had this class as a prerequisite . Confident in her abilities, she failed the class and all the planning she had done ended up being completely futile. ",low,far,1
87,"Genius is one percent inspiration, ninety-nine percent perspiration","Some of her classmates assumed it was easy for her to get near perfect grades because she never seemed stressed. However, she spent hours every day studying, including making flashcards, re-writing her notes, and having her family members quiz her rigorously.","Once upon a time, in a prestigious educational institution, there was a determined learner. With the goal of achieving outstanding academic performance, the learner tirelessly devoted long hours to studying and practicing. Through their unwavering dedication and perseverance, the learner experienced the true essence of learning, where hard work and effort proved to be the key to success.","The girl looked up to her favorite professor for years after having a one hour class with him. She begged him to let her be his research assistant. When he finally accepted, she began working closely with him for over 50 hours a week. The girl began to see how rude he was. He was moody and unappreciative of her help. Her opinion of him changed after that.",high,near,1
88,To the victor go the spoils,"As an 1980 Abba song played in the background, the crowdsourced micro worker found the definitive high-paying task of dreams.  But there was only one instance of the task left.  He clicked on it with speed and determination.  Thousands of micro workers like him would be clicking it too.  Only the fastest one will get paid; everyone else gets nothing.",Bill was a politician who made a name for himself by slandering his competition. He won every election he entered and was considering the best campaign specialist in the business. In one election Bill ran up against Todd who took Bill's strategy and used it against him in order to win an election over Bill.,"Kelly was so hopeful to go to the Olympics. So was Katie. They both wanted to make the team so badly, and they both did. When it came time to compete, they knew winning was so important. Because not only would they win all of the glory of the gold medal, the endorsements would come pouring in as well.",low,far,2
89,A picture paints a thousand words,"A man wanted to start his job at a company where his friends used to work as well. They were telling him about all the bad thing about the company and the not so condusive environment they were working in, but he wasn't believing them since he thought they are only trying to take over his job. When he started the job, he saw all the descriptions with his own eyes and it was actually real.","As he drove into work one morning, Walter decided he was underpaid.  He let himself become angry and resentful about his salary. The point he missed was to ask someone who knew the rules to represent him and not himself that was unaware of all the rules in a new country he was working.   When he got to his office, he interrupted a meeting the boss was having to ask for a raise.  The boss told Walter to calm down and come back later.  Instead, Walter got angrier, swore at his boss, and called him vile, insulting names.  Instead of getting a raise, Walter got fired.","John, a hardworking and dedicated father, worked tirelessly at his job as a supervisor in a small printing company. His sole motivation was to support and provide happiness for his family. Every day, he would go to work with a smile on his face, knowing that the long hours and late nights were worth it when he saw the joy on his children's faces. As he looked at a picture of his family on his desk, he realized that their happiness was worth more than any material success could ever be.",high,near,2
